emp_no,salary
10001,60117
10005,78228
10011,42365
10018,55881
10019,44276
10022,40000
10026,47585
10035,41538
10051,48817
10053,67854
10058,52787
10059,71218
10063,40000
10067,44642
10070,55999
10072,40000
10074,61714
10076,47319
10091,40000
10096,61395
10100,54398
10103,68158
10126,40000
10127,40000
10129,40000
10138,53574
10150,70122
10153,54246
10160,91622
10177,48041
10183,40000
10186,40000
10189,41222
10194,64941
10219,40000
10224,40000
10228,79474
10230,47531
10240,73874
10248,58918
10278,51703
10282,40000
10283,40000
10284,40000
10294,66448
10302,58239
10321,86819
10326,40000
10340,68132
10347,42199
10349,47518
10353,62656
10363,40401
10364,51401
10367,63565
10372,54505
10374,69568
10382,45785
10387,61374
10396,40393
10397,40529
10402,40000
10407,62565
10418,52224
10432,40000
10443,55299
10451,46275
10453,40000
10486,71692
10494,50094
10497,63707
10517,65330
10519,40000
10529,47840
10538,72002
10548,90631
10564,46660
10575,40523
10586,47541
10591,55131
10608,40000
10614,40000
10623,60268
10624,40000
10628,41650
10637,103579
10639,46291
10653,40000
10672,64663
10676,58226
10693,40000
10694,53020
10696,68913
10702,46581
10726,46315
10741,50265
10745,40000
10749,60829
10751,50052
10764,70720
10777,40000
10780,43654
10782,40000
10791,40000
10795,84206
10829,40000
10830,47420
10833,40000
10834,53869
10835,40000
10844,40000
10847,40000
10848,50475
10849,66065
10854,40000
10858,47847
10867,40000
10873,65835
10879,65651
10895,67103
10909,80935
10918,59521
10920,40000
10927,51819
10930,53785
10944,42872
10947,43068
10949,58253
10956,40000
10969,40000
10971,52453
10974,56005
10985,40000
10987,46108
10988,54174
10989,46406
10996,43564
11002,49909
11009,75111
11019,69387
11021,62670
11027,40000
11028,41111
11031,71654
11032,40000
11048,65697
11051,40000
11064,48411
11070,40000
11075,76877
11077,42983
11081,65686
11083,90972
11084,52121
11085,66437
11091,76253
11092,78588
11098,40000
11100,40000
11110,43063
11111,49777
11112,40000
11114,42370
11119,40000
11130,43172
11168,72944
11170,44531
11177,40000
11185,40000
11192,40000
11195,52089
11203,68049
11204,40000
11206,68802
11207,49728
11211,72668
11217,40000
11218,40000
11221,47184
11229,48214
11232,43863
11233,46070
11251,69432
11253,40000
11258,40000
11267,65990
11268,40000
11288,60782
11291,54307
11292,40000
11294,43768
11296,40000
11297,40000
11315,84316
11319,40000
11325,62458
11343,43306
11347,41524
11349,46356
11365,56463
11373,45912
11387,41824
11393,40000
11404,42907
11406,71834
11414,76725
11415,40000
11421,52416
11428,40000
11431,44804
11446,40000
11449,61434
11460,45712
11468,85983
11469,44625
11474,59016
11476,56449
11479,78157
11515,70182
11521,67809
11527,60212
11528,44026
11537,96023
11554,46065
11567,86261
11573,46194
11575,50896
11581,46950
11588,40000
11589,58444
11595,68224
11597,43205
11602,58575
11615,46591
11616,41900
11624,42001
11640,52520
11641,53327
11646,55411
11664,70380
11673,40000
11693,70403
11733,46092
11735,40000
11736,44127
11738,58432
11746,55951
11747,90239
11755,56874
11756,59493
11764,64875
11765,40000
11769,40000
11770,40000
11772,61295
11779,40000
11801,67265
11805,40000
11810,41256
11811,52695
11817,50638
11821,50404
11822,67396
11829,40000
11836,40000
11838,68674
11842,40000
11846,53448
11853,61941
11857,94805
11862,46011
11868,48349
11869,62968
11871,67424
11877,50777
11881,76541
11883,58135
11888,53720
11894,56198
11897,80049
11915,58042
11917,40000
11931,73369
11949,40000
11951,40000
11965,57709
11972,52908
11980,58241
11983,40000
11987,40000
11988,57652
11994,49761
12007,40000
12008,68535
12030,40000
12037,47805
12040,64813
12044,40000
12047,52051
12054,67400
12062,44199
12070,50233
12076,75381
12077,50388
12080,47946
12089,46288
12091,40000
12094,44788
12103,56188
12112,76538
12122,46398
12125,41215
12128,81527
12140,40000
12148,42040
12149,109934
12159,61210
12164,43366
12172,40000
12183,40000
12186,70221
12192,41625
12205,40000
12213,79834
12219,57507
12221,56736
12222,55840
12223,54459
12235,100755
12247,59183
12254,44848
12258,40748
12264,51816
12273,90736
12274,40000
12276,59844
12282,40000
12291,67506
12298,62015
12311,40000
12312,52344
12317,40000
12327,67449
12328,51299
12335,40000
12339,40000
12345,42222
12355,70724
12365,40000
12379,43508
12380,40000
12381,42211
12388,40000
12394,40000
12395,66909
12399,85582
12407,40000
12411,97610
12417,67342
12421,52691
12426,40000
12450,40000
12452,40000
12464,50448
12466,65175
12468,41627
12470,42070
12475,40000
12478,50404
12482,45647
12489,63306
12490,40000
12497,81191
12501,76082
12502,40000
12504,40000
12505,40423
12506,50229
12509,40000
12514,54241
12515,50655
12520,40000
12522,47733
12528,40000
12534,66715
12540,40000
12551,40000
12552,91393
12553,40000
12563,40000
12564,76772
12571,53163
12574,66284
12588,49125
12589,59441
12596,40000
12601,41714
12617,55663
12626,61375
12630,41052
12635,40000
12636,40000
12638,56677
12642,68271
12651,75150
12656,70030
12664,40000
12665,68848
12666,40000
12670,45281
12678,44529
12687,78376
12694,53019
12697,40000
12707,53664
12715,40000
12717,53194
12726,61177
12730,40000
12746,63044
12747,40000
12753,47071
12758,51525
12761,62465
12774,40000
12775,69805
12789,41358
12790,87760
12798,81145
12799,42816
12803,91789
12810,46737
12814,46936
12821,46727
12825,40000
12829,51521
12831,40000
12843,40000
12846,63962
12853,47160
12855,40000
12863,62803
12865,64679
12869,61803
12879,40000
12881,66390
12887,40000
12888,41673
12899,40000
12915,55723
12926,68314
12934,47274
12937,59206
12941,67069
12949,40000
12969,59876
12977,61326
12981,40000
12984,40000
12987,56823
13000,40000
13002,40935
13004,40000
13011,51216
13013,40000
13030,51770
13034,77736
13046,40000
13047,52323
13048,40000
13052,42693
13065,58147
13075,40000
13086,40000
13087,40000
13093,75658
13103,40000
13113,66941
13133,67777
13134,51227
13144,52825
13146,61398
13156,48285
13159,54536
13161,49733
13165,42796
13168,49210
13170,49012
13173,46354
13175,65572
13179,90233
13182,46832
13186,93138
13189,40000
13192,43986
13197,93225
13200,50821
13203,40000
13206,44383
13210,83961
13221,47724
13233,49414
13235,57427
13238,40000
13240,49018
13243,67269
13246,83156
13248,72379
13260,40000
13272,40000
13282,45990
13288,40000
13291,54720
13294,57991
13299,40000
13312,53718
13315,40000
13320,47422
13321,59560
13329,96912
13346,40000
13371,40000
13373,82749
13374,40000
13379,52620
13385,40000
13386,91420
13392,69221
13394,44631
13405,60799
13407,60348
13415,61838
13417,53074
13427,50468
13443,40000
13445,53194
13451,40000
13458,41375
13460,40000
13463,40000
13465,49821
13493,40000
13505,46130
13520,46435
13521,40000
13524,52849
13535,40000
13539,54246
13540,82488
13544,91559
13552,73346
13560,40000
13567,71269
13576,73022
13578,62885
13591,40000
13598,76264
13600,40000
13605,70404
13617,40000
13622,63460
13642,45456
13653,53242
13662,66158
13670,40000
13680,46968
13685,48322
13693,40000
13697,40000
13704,40000
13727,50798
13745,40000
13758,66365
13768,40000
13772,57288
13786,74494
13792,59127
13795,49749
13796,50962
13797,54537
13799,40000
13800,40000
13801,64182
13807,64287
13809,43735
13815,40000
13825,54704
13838,40000
13853,61615
13861,42013
13875,40000
13883,40000
13899,40000
13909,42656
13911,64188
13914,41526
13924,40000
13936,47292
13943,87119
13946,52426
13962,67965
13966,40000
13972,49895
13987,49919
13990,52723
13992,81318
13999,40000
14011,50800
14012,40000
14034,69700
14038,62982
14041,63235
14051,40000
14077,57835
14102,48200
14105,76767
14109,61804
14111,52696
14122,62343
14130,40000
14140,64727
14150,40000
14159,64495
14168,40000
14172,61519
14191,40155
14200,52225
14214,49797
14217,40000
14232,50568
14233,40000
14234,59812
14236,40000
14237,57219
14241,55280
14248,40000
14251,40000
14253,40000
14254,50266
14275,94782
14279,40000
14281,47391
14285,53317
14287,45483
14289,60863
14290,78736
14292,41846
14293,40000
14302,45483
14310,40000
14321,83644
14322,50363
14323,40000
14326,51046
14329,46371
14344,41979
14359,40000
14364,56970
14369,43031
14384,58260
14388,52022
14395,58898
14398,41978
14406,74442
14411,58151
14418,61764
14434,40000
14436,65830
14439,80654
14441,40000
14446,66639
14457,52732
14460,56267
14483,40000
14490,60770
14497,55199
14498,40000
14501,63646
14502,54596
14518,64238
14530,40000
14533,48376
14544,104153
14552,40000
14564,62163
14572,40000
14582,40000
14589,40000
14595,70860
14600,41352
14603,55369
14610,85426
14621,66404
14639,79405
14640,42662
14645,45647
14655,65742
